Indicador,Último,Anterior,Unidad,Referencia
ADP Employment Change – Large Firms - United States,2.00,36.00,Mil,Dec 2025
ADP Employment Change – Mid-Sized Firms - United States,34.00,45.00,Mil,Dec 2025
ADP Employment Change – Small Firms - United States,9.00,-96.00,Mil,Dec 2025
Reporte ADP De Empleo,41.00,-29.00,Mil,Dec 2025
ADP Employment Change Weekly,11.50,17.50,Mil,Dec 2025
Recortes de empleo Challenger,35553.00,71321.00,Personas,Dec 2025
Peticiones extendidas de desempleo,1914.00,1858.00,Mil,Dec 2025
Peticiones por desempleo,208.00,200.00,Mil,Jan 2026
Jolts Vacantes de Empleo,7146.00,7449.00,Mil,Nov 2025
Nóminas no agrícolas,64.00,-105.00,Mil,Nov 2025
Tasa de Desempleo,4.60,4.40,Por Ciento,Nov 2025
