Indicador,Último,Anterior,Unidad,Referencia
Cambio de Empleo ADP – Grandes Empresas (ADP) - United States,13.00,23.00,Mil,Jul 2026
Cambio de Empleo ADP (ADP) – Empresas de Tamaño Mediano (Mid-Sized Firms) - United States,8.00,29.00,Mil,Jul 2026
Cambio de Empleo ADP – Pequeñas Empresas (ADP) - United States,23.00,53.00,Mil,Jul 2026
Reporte ADP De Empleo,44.00,95.00,Mil,Jul 2026
Cambio de Empleo ADP (ADP) Semanal,11.75,9.50,Mil,Aug 2026
Recortes de empleo Challenger,33429.00,45849.00,Personas,Jul 2026
Peticiones extendidas de desempleo,1778.00,1796.00,Mil,Aug 2026
Peticiones por desempleo,203.00,207.00,Mil,Aug 2026
Jolts Vacantes de Empleo,7359.00,7537.00,Mil,Jun 2026
Nóminas no agrícolas,-23.00,20.00,Mil,Jul 2026
Tasa de Desempleo,4.10,4.20,Por Ciento,Jul 2026
