Indicador,Último,Anterior,Unidad,Referencia
Cambio de Empleo ADP – Grandes Empresas (ADP) - United States,13.00,23.00,Mil,Jul 2026
Cambio de Empleo ADP (ADP) – Empresas de Tamaño Mediano (Mid-Sized Firms) - United States,8.00,29.00,Mil,Jul 2026
Cambio de Empleo ADP – Pequeñas Empresas (ADP) - United States,23.00,53.00,Mil,Jul 2026
Reporte ADP De Empleo,44.00,95.00,Mil,Jul 2026
Cambio de Empleo ADP (ADP) Semanal,15.00,16.25,Mil,Jul 2026
Recortes de empleo Challenger,45849.00,97006.00,Personas,Jun 2026
Peticiones extendidas de desempleo,1782.00,1789.00,Mil,Jul 2026
Peticiones por desempleo,197.00,188.00,Mil,Jul 2026
Jolts Vacantes de Empleo,7359.00,7537.00,Mil,Jun 2026
Nóminas no agrícolas,57.00,129.00,Mil,Jun 2026
Tasa de Desempleo,4.20,4.30,Por Ciento,Jun 2026
